"Prompt: You are generating questions for an educational app aimed toward educating 8 year olds.  Generate simple area questions similar to ""A square table is 2 m long. Find its area"" Make sure all questions are finding the area for squares. Make sure all units of measurements are in the metric system and there is no need to do unit conversion

"
A square piece of paper has a side length of 4 cm. What is the area of the paper?
A garden is in the shape of a square with a side length of 5 meters. What is the area of the garden?
A square tile has a side length of 10 cm. What is the area of the tile?
A room is in the shape of a square with a side length of 3 meters. What is the area of the room?
A square cardboard has a side length of 6 cm. What is the area of the cardboard?
A park has a square shape with a side length of 20 meters. What is the area of the park?
A square-shaped bookshelf has a side length of 15 cm. What is the area of the bookshelf?
A window is in the shape of a square with a side length of 8 cm. What is the area of the window?
A square-shaped desk has a side length of 12 cm. What is the area of the desk?
A whiteboard is in the shape of a square with a side length of 40 cm. What is the area of the whiteboard?
A square-shaped rug has a side length of 6 meters. What is the area of the rug?
A square-shaped painting has a side length of 8 cm. What is the area of the painting?
A square-shaped window has a side length of 12 cm. What is the area of the window?
A square-shaped tablecloth has a side length of 1.5 meters. What is the area of the tablecloth?
A square-shaped room has a side length of 4 meters. What is the area of the room?
A square-shaped tile has a side length of 20 cm. What is the area of the tile?
A square-shaped book has a side length of 5 cm. What is the area of the book?
A square-shaped poster has a side length of 30 cm. What is the area of the poster?
A square-shaped cushion has a side length of 18 cm. What is the area of the cushion?
A square-shaped box has a side length of 25 cm. What is the area of the box?
