Sno,Test Name,Ques Type,Question,Option,Subject Name,Topic Name,Sub-Topic Name,Grade Level,Course Name,Country Name,Class(Grade)
1,Pre-Test Hindi,Multiple Choice,ऑडियो को सुन कर उत्तर दीजिये।,Op1:ज Op2:र Op3:ब Op4:म Op5:ल Op6:व ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
3,Pre-Test Hindi,Multiple Choice,ऑडियो को सुन कर उत्तर दीजिये।,Op1:व Op2:म Op3:ब Op4:ल Op5:र Op6:ज ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
5,Pre-Test Hindi,Multiple Choice,ऑडियो को सुन कर उत्तर दीजिये।,Op1:ल Op2:ज Op3:र Op4:ब Op5:म Op6:त ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
7,Pre-Test Hindi,Multiple Choice,ऑडियो को सुन कर उत्तर दीजिये।,Op1:अ Op2:स Op3:द Op4:ब Op5:क Op6:प ,Hindi,व्याकरण,,,Pre Test Hindi,India,-
9,Pre-Test Hindi,Multiple Choice,ऑडियो को सुन कर उत्तर दीजिये।,Op1:अ Op2:स Op3:द Op4:ब Op5:क Op6:प ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
11,Pre-Test Hindi,Drag the Images,नीचे दिए गए शब्दों को पढ़िए और सही चित्रों के साथ मिलाइए।,Op1:कप Op2:फल Op3:मगर Op4:अदरक ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
13,Get Entrance,True & False,Electrons move faster than the speed of light.,Op1:True Op2:False ,English,The Bangle Sellers,,,Pre Test Gujarati,India,-
15,Pre-Test Hindi,Drag the Words,"वाक्य के दो हिस्सों को लाइन से मिलाकर वाक्य पूरा करिए।

बेटे बेटी में ##भेदभाव ठीक नहीं है##।
टीके रोगों से ##बचाव करते हैं##।
हर नागरिक को ##सूचना का अधिकार है##।
नशा करना ##बुरी आदत है।##।
बाल विवाह करना ##अपराध है##।",Op1:अपराध है Op2:सूचना का अधिकार है Op3:बचाव करते हैं Op4:बुरी आदत है। Op5:भेदभाव ठीक नहीं है ,Hindi,पत्र लेखन,,,Pre Test Hindi,India,-
17,Pre-Test Hindi,Multiple Choice,बच्चों को टीके लगवाना ज़रूरी है।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Pre Test Hindi,India,-
19,Pre-Test Hindi,Multiple Choice,कानून के अनुसार लड़की के विवाह की उम्र 18 साल है।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Pre Test Hindi,India,-
21,Pre-Test Hindi,Multiple Choice,मलेरिया मच्छरों से नहीं फैलता है।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Pre Test Hindi,India,-
23,Pre-Test Hindi,Multiple Choice,हमारे देश का नाम भारत है।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Pre Test Hindi,India,-
25,Pre-Test Hindi,Drag the Images,दिए गए चिह्नों को सही उत्तर के साथ मिलाइए।,Op1:साक्षर भारत Op2:धूम्रपान निषेध Op3:खतरा है Op4:रेडक्रास ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
27,Pre-Test Hindi,Drag the Words,"सही शब्द चुनकर वाक्य पूरा करिए।            

(i)   सबको शिक्षा का ##अधिकार## मिला है।
(ii)  पेड़ों से शुद्ध ##हवा## मिलती है।
(iii) गंदगी रोगों की ##जड़## है।
(iv) किसी के दबाब में आकर ##वोट## न डालें।",Op1:वोट Op2:हवा Op3:जड़ Op4:अधिकार ,Hindi,रिक्त स्थान की पूर्ति,,,Pre Test Hindi,India,-
29,Pre-Test Hindi,Drag the Images,नीचे दिए गए शब्दों को पढ़िए और सही चित्रों के साथ मिलाइए।,Op1:चिड़िया Op2:गाय Op3:अंगूर Op4:मटका ,Hindi,व्यंजन,,,Pre Test Hindi,India,-
31,Post-Test Hindi,Drag the Images,नीचे दिए गए शब्दों को पढ़िए और सही चित्रों के साथ मिलाइए।,Op1:बकरी Op2:मूली Op3:माला Op4:थैला ,Hindi,व्यंजन,,,Post Test Hindi,India,-
33,Post-Test Hindi,Drag the Words,"सही शब्द चुनकर वाक्य पूरा करिए।

हमारे देश का नाम ##भारत## है।
राष्ट्रीय झण्डे का नाम ##तिरंगा## है।
नशा करना सेहत के लिए ##नुकसानदायक## होता है।
 ##बच्चे## स्कूल पढ़ने जाते हैं।
एक साल में ##बारह## महीने होते हैं।",Op1:नुकसानदायक Op2:बच्चे Op3:तिरंगा Op4:बारह Op5:भारत ,Hindi,रिक्त स्थान की पूर्ति,,,Post Test Hindi,India,-
35,Post-Test Hindi,Multiple Choice,बच्चों को टीके नहीं लगवाना चाहिए।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Post Test Hindi,India,-
37,Post-Test Hindi,Multiple Choice,ब्लैक बोर्ड पर चॉक से लिखते हैं।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Post Test Hindi,India,-
39,Post-Test Hindi,Multiple Choice,जल बिना जीवन सम्भव नहीं है।,Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Post Test Hindi,India,-
41,Post-Test Hindi,Multiple Choice,"गणतंत्र दिवस 26 जनवरी को मनाते हैं।
",Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Post Test Hindi,India,-
43,Post-Test Hindi,Drag the Words,"वाक्य के दो हिस्सों को मिलाकर वाक्य पूरा करिए।

(i)  फसल ##खेतों में ऊगाई जाती है##।
(ii)  पक्षी पेड़ों पर ##घोंसले बनाते हैं##।
(iii) अगस्त से पहले##जुलाई आता है##।
(iv) मेहनत का फल ##मीठा होता है##।
(v) पढ़ाई-लिखाई ##जीवन में काम आती हैं##।",Op1:खेतों में ऊगाई जाती है Op2:मीठा होता है Op3:जुलाई आता है Op4:घोंसले बनाते हैं Op5:जीवन में काम आती हैं ,Hindi,रिक्त स्थान की पूर्ति,,,Post Test Hindi,India,-
45,Post-Test Hindi,Drag the Images,नीचे दिए गए शब्दों को पढ़िए और सही चित्रों के साथ मिलाइए।,Op1:परिवार कल्याण Op2:साक्षर भारत Op3:दूरदर्शन Op4:सर्व शिक्षा अभियान ,Hindi,व्यंजन,,,Post Test Hindi,India,-
47,Post-Test Hindi,Multiple Choice,"सूर्य पूर्व दिशा से नहीं निकलता है।
",Op1:सही Op2:गलत Op3:नही पता ,Hindi,प्रश्न उत्तर,,,Post Test Hindi,India,-
